Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRC24,OUT035,2664.5132
FDW21,OUT018,1368.502
NCH29,OUT046,1822.7234
FDU58,OUT013,3121.8877
FDY27,OUT017,2790.2737
FDV56,OUT035,1781.122
FDT59,OUT046,3699.3647
FDB23,OUT046,3222.728
FDR49,OUT045,652.16565
FDB03,OUT010,685.5253
FDN39,OUT045,2635.3003
FDX02,OUT027,5969.2705
FDQ16,OUT027,2382.2498
FDU35,OUT018,1594.9382
NCT29,OUT013,1913.2412
FDZ27,OUT046,664.28937
FDN57,OUT017,1897.7181
FDA03,OUT018,2153.372
FDZ36,OUT045,3261.8706
NCU05,OUT013,1072.9897
FDT39,OUT018,2035.6428
FDK60,OUT017,1625.6741
FDZ25,OUT017,2869.6726
FDG12,OUT046,2211.7407
DRB01,OUT019,331.64542
NCC43,OUT027,6477.86
FDX13,OUT019,631.61633
FDM22,OUT049,898.7542
FDJ03,OUT027,1392.3046
FDU14,OUT018,3698.956
FDB33,OUT010,446.19806
FDP27,OUT046,3339.0168
FDO38,OUT010,156.83398
FDE28,OUT027,6003.011
FDO27,OUT035,1655.9155
DRL23,OUT027,2416.5332
FDS28,OUT046,858.81445
FDX24,OUT013,1382.6315
FDZ02,OUT035,1462.3094
FDL46,OUT045,1602.2246
FDS60,OUT027,4969.203
NCO06,OUT017,502.59222
FDO16,OUT035,1639.7126
FDC60,OUT049,1638.6904
FDA48,OUT018,3397.3984
FDZ36,OUT027,4894.1416
FDK27,OUT045,1877.6971
FDW23,OUT018,382.6959
FDM14,OUT018,1581.3481
FDM14,OUT013,1759.5822
FDW60,OUT018,2540.9382
FDE21,OUT013,1900.9115
NCM42,OUT035,1755.2628
FDY59,OUT010,193.42323
DRI49,OUT049,1387.4899
FDT28,OUT019,383.06366
FDQ22,OUT018,461.87924
FDR60,OUT049,1326.3259
FDC50,OUT019,195.46402
FDV24,OUT013,2136.7222
DRF48,OUT010,436.39807
FDQ47,OUT046,934.5944
DRN36,OUT049,1580.2666
NCY06,OUT035,2176.4907
FDE52,OUT035,1564.3998
NCB54,OUT045,1933.5784
NCF31,OUT035,2519.1816
FDJ08,OUT027,4858.316
NCC07,OUT017,1605.1298
NCD19,OUT027,1750.5435
FDL46,OUT049,1730.3186
FDM20,OUT045,3937.4712
NCI06,OUT010,401.93164
DRM11,OUT035,4891.6353
NCH07,OUT018,2196.6372
FDS23,OUT013,2010.3053
FDO49,OUT018,579.52454
FDS35,OUT049,1093.906
DRK39,OUT045,1259.64
DRI39,OUT049,1052.4528
FDV04,OUT017,2497.125
NCN14,OUT035,3022.1392
FDH08,OUT013,4198.2715
FDS20,OUT046,3251.1553
FDV40,OUT049,1160.7748
FDZ48,OUT010,271.95444
FDS24,OUT027,2516.5962
FDK44,OUT049,2890.6895
FDS48,OUT045,2490.4343
FDK26,OUT010,645.84625
FDD23,OUT045,3241.3381
NCH54,OUT017,2786.575
NCP14,OUT010,284.85593
FDM60,OUT010,72.00979
FDV24,OUT017,2197.1309
FDH08,OUT018,2949.8198
FDS12,OUT027,3656.6965
FDR39,OUT027,5396.9272
FDP12,OUT027,1151.3973
DRF60,OUT027,5443.4937
FDC09,OUT035,1839.9646
FDF50,OUT018,3055.1587
FDG28,OUT035,3961.5835
NCE19,OUT017,954.4968
NCM53,OUT010,218.40088
NCN18,OUT049,1931.9426
FDF32,OUT035,3410.043
FDF11,OUT013,4333.8115
DRI59,OUT049,3977.58
NCG54,OUT035,2770.3113
FDM44,OUT046,1652.3857
FDT57,OUT018,3346.915
FDV24,OUT046,2131.6475
FDI50,OUT019,606.4736
FDS09,OUT035,872.695
NCC31,OUT027,3483.856
FDQ07,OUT019,756.03345
FDC22,OUT017,3287.2183
FDZ56,OUT046,2871.3088
FDZ40,OUT019,80.05283
FDS46,OUT027,2949.0208
DRD24,OUT045,1967.6157
FDV45,OUT017,3208.681
FDL26,OUT045,2386.3767
FDA56,OUT018,1794.3057
FDN27,OUT046,1624.9015
FDM20,OUT049,4095.1433
FDO16,OUT017,1654.8534
FDL03,OUT035,3350.5464
FDE58,OUT046,2003.2731
FDI02,OUT027,3079.673
NCC55,OUT019,34.9315
FDR03,OUT018,3059.2996
FDB14,OUT017,1508.3086
FDR45,OUT013,4173.332
NCN07,OUT017,2113.616
FDM51,OUT019,217.45142
FDT52,OUT027,6017.618
FDL26,OUT046,2414.1401
NCZ42,OUT046,3841.4556
DRI47,OUT019,427.92957
FDW40,OUT013,2286.8962
FDN34,OUT046,2926.4753
FDS01,OUT035,3080.8708
NCG55,OUT045,1792.9431
FDC11,OUT035,1402.5686
FDX35,OUT018,3180.0857
NCB06,OUT046,2526.1108
FDR09,OUT019,491.66385
FDC53,OUT017,1532.1967
FDY45,OUT013,4458.027
FDA22,OUT010,343.9648
FDE02,OUT035,1506.736
FDW21,OUT045,1709.5798
FDV34,OUT046,1087.985
FDS59,OUT049,1696.5671
NCW17,OUT017,2327.1265
NCK54,OUT046,1770.2584
FDG17,OUT019,525.8213
FDG35,OUT017,3174.587
FDD08,OUT010,77.79288
NCO07,OUT017,4006.3489
FDJ10,OUT010,357.10104
FDW36,OUT017,1604.7344
FDW21,OUT010,413.7538
FDY19,OUT017,1933.7805
DRE03,OUT013,706.2086
NCC55,OUT049,767.051
FDH52,OUT010,99.57994
FDO09,OUT017,4695.657
FDU43,OUT045,3918.7
FDX09,OUT010,375.3724
FDH40,OUT019,175.2833
FDW58,OUT017,1761.6997
FDC47,OUT017,4168.8223
NCR41,OUT035,1678.7374
DRG49,OUT035,4512.33
FDC52,OUT027,3910.5283
FDY13,OUT046,1131.8081
FDY35,OUT013,676.7744
FDI35,OUT017,3553.5715
NCU18,OUT049,2112.3289
FDY33,OUT018,2416.8135
FDC15,OUT027,3902.2275
FDU01,OUT049,3114.1682
NCU42,OUT046,2889.2026
NCV29,OUT018,2713.914
NCY30,OUT017,3286.521
FDQ46,OUT049,1805.422
FDG58,OUT027,4017.782
FDK33,OUT017,3928.4385
NCD07,OUT045,1685.794
NCX29,OUT027,3717.8418
NCT42,OUT013,2096.1875
DRN59,OUT035,740.6027
FDI44,OUT035,1245.9083
FDA45,OUT049,2001.3219
FDP31,OUT045,592.8546
FDY01,OUT046,1781.0182
FDT09,OUT018,1743.5555
DRH03,OUT027,2651.5002
FDA36,OUT018,2244.607
NCF31,OUT017,2393.02
FDG14,OUT049,2632.3406
FDG28,OUT027,6489.873
FDU14,OUT049,4594.561
FDY47,OUT019,343.03693
FDI56,OUT049,1470.544
DRD01,OUT013,689.8309
FDM22,OUT046,937.02435
FDH33,OUT013,679.72577
DRZ24,OUT013,1936.0492
NCQ38,OUT046,1581.4459
FDO16,OUT027,2076.7869
FDU07,OUT027,3672.1455
NCB07,OUT013,2801.1582
FDU48,OUT045,1703.3239
NCM43,OUT045,2612.051
FDR31,OUT010,305.98743
DRK49,OUT018,426.10342
NCI30,OUT010,507.69107
DRD60,OUT017,3179.4795
NCG19,OUT046,3530.1135
FDH12,OUT035,1697.0536
FDM32,OUT035,1561.957
FDM27,OUT035,2676.1462
NCU53,OUT027,3862.6545
NCQ18,OUT046,1512.818
FDS10,OUT013,2767.2124
FDB33,OUT027,4312.3945
FDI12,OUT013,1350.791
NCW42,OUT013,3677.3728
NCC06,OUT018,1765.4381
FDW02,OUT017,2579.8484
NCD43,OUT017,1835.4086
FDM57,OUT018,877.4218
FDA58,OUT017,3666.6814
FDK56,OUT046,2964.0183
FDP52,OUT045,4567.67
FDW20,OUT018,1704.5939
FDS52,OUT049,1752.9551
NCT29,OUT018,1541.0474
NCL54,OUT013,3018.236
FDC05,OUT045,3024.7034
FDF34,OUT035,2838.1426
FDP03,OUT027,3239.2544
FDD32,OUT010,152.25943
FDZ10,OUT045,1977.0972
FDZ40,OUT035,999.12384
FDD51,OUT018,420.40244
NCY30,OUT019,401.05118
FDP58,OUT017,3562.7473
FDV49,OUT017,4246.5557
FDY24,OUT019,138.62723
NCO55,OUT017,1649.045
FDR13,OUT017,1991.8062
FDS51,OUT017,1049.3005
FDP26,OUT045,1617.2749
NCB54,OUT027,3362.66
FDF32,OUT017,3193.818
FDN31,OUT018,2763.963
DRM48,OUT017,703.8355
FDN20,OUT049,2792.4382
DRL01,OUT046,4031.7131
FDV56,OUT049,1664.9244
DRH13,OUT027,2583.735
FDA03,OUT017,2432.5483
FDF47,OUT027,6541.8486
FDX32,OUT046,2537.106
FDX57,OUT049,1592.1261
NCA30,OUT045,2896.3892
FDO49,OUT013,758.86664
FDL04,OUT019,200.57382
DRM48,OUT035,765.9792
FDR16,OUT013,3630.8472
NCC19,OUT018,2869.737
NCE42,OUT045,3663.0283
FDY24,OUT017,1051.0541
FDH19,OUT049,2717.8262
FDJ46,OUT013,2621.4307
FDN45,OUT010,584.20764
FDY08,OUT035,2176.0847
FDZ37,OUT035,1489.5817
NCT30,OUT045,694.5689
DRY23,OUT018,531.67126
NCZ30,OUT018,1829.4313
FDC44,OUT018,1584.9144
FDB45,OUT035,1647.7654
FDY04,OUT013,2478.263
FDM27,OUT046,2581.3179
FDZ43,OUT017,4230.567
FDT39,OUT019,334.97192
NCC06,OUT019,387.41916
FDL15,OUT027,4242.7515
FDL57,OUT017,4924.7163
FDU08,OUT046,1541.5464
FDK40,OUT017,4513.984
FDQ12,OUT010,676.61597
FDS48,OUT017,2546.7205
FDP09,OUT045,3428.3088
FDW21,OUT049,1712.0952
FDY25,OUT035,3149.764
DRE13,OUT017,1426.6566
FDV43,OUT019,33.65063
FDD22,OUT045,1703.1365
FDM46,OUT019,234.95065
NCO30,OUT010,563.7297
FDM25,OUT046,2809.5752
NCN41,OUT049,2030.5632
FDU24,OUT045,1578.5249
FDZ50,OUT046,3293.8992
FDP45,OUT013,4006.4365
NCM54,OUT045,1973.9956
FDW10,OUT019,365.24805
FDP20,OUT017,2091.39
FDK32,OUT046,2496.561
FDN52,OUT049,1383.5175
FDM58,OUT045,1851.4071
FDZ46,OUT027,3070.454
NCA18,OUT018,1565.5249
FDD35,OUT046,2143.132
NCK31,OUT035,839.1817
FDI40,OUT027,2666.3179
FDT50,OUT019,223.53091
NCT06,OUT046,2752.7898
FDT31,OUT035,3044.0425
FDT45,OUT049,849.329
FDT13,OUT045,3354.7322
FDO50,OUT045,1375.7692
NCU18,OUT010,394.075
NCR54,OUT049,3406.409
NCO18,OUT018,2550.6123
FDU09,OUT045,931.2037
FDT13,OUT018,3008.7266
FDE09,OUT046,1739.131
NCK53,OUT019,212.10712
FDG45,OUT049,3709.2622
DRH15,OUT035,580.6621
FDO21,OUT019,542.63574
FDD14,OUT027,5737.0835
FDC09,OUT046,1669.298
FDH45,OUT027,1131.2124
FDV32,OUT046,1104.5919
FDG12,OUT035,2104.5852
FDS32,OUT013,2059.117
NCL55,OUT018,3283.3857
DRE01,OUT035,3834.8193
DRE15,OUT049,1309.2418
NCL42,OUT045,3962.9011
FDP31,OUT013,869.3596
FDN33,OUT018,1284.5283
FDZ59,OUT046,3018.6575
FDE45,OUT010,368.3335
FDJ07,OUT013,1790.8639
FDQ45,OUT018,2735.7686
FDM33,OUT027,6148.093
FDO15,OUT010,29.80862
FDM46,OUT013,1724.8271
FDR03,OUT045,3118.2168
FDY49,OUT018,2482.6558
FDQ60,OUT045,1750.9641
FDW10,OUT049,2464.7793
FDO51,OUT049,722.3156
FDJ40,OUT018,1473.4192
FDS20,OUT018,3002.1042
FDU45,OUT013,1929.2216
FDV02,OUT035,2971.464
FDN09,OUT046,3960.599
NCM55,OUT027,5191.709
FDN23,OUT018,2209.2888
FDY31,OUT010,332.09897
FDW03,OUT010,307.77402
FDD14,OUT046,3029.1003
FDV23,OUT017,1986.7042
DRI03,OUT045,2589.8242
FDN13,OUT035,1444.9337
FDF45,OUT027,1860.4474
FDU46,OUT035,1458.4706
FDB57,OUT049,3896.1802
FDV12,OUT049,1565.7328
FDQ58,OUT013,2046.222
NCA18,OUT017,1802.6393
FDH52,OUT049,1004.6123
FDM24,OUT018,2216.938
NCP43,OUT027,4397.828
NCO18,OUT019,380.9163
FDM32,OUT017,1423.3002
NCL07,OUT017,718.36414
FDK03,OUT013,4214.3555
FDP59,OUT017,1266.5818
FDQ24,OUT049,4462.0034
FDQ16,OUT018,1516.8016
FDU44,OUT013,2286.091
FDH28,OUT010,49.26099
FDV28,OUT019,42.002678
FDM22,OUT045,940.67926
FDR56,OUT046,3156.1777
FDV39,OUT049,3133.4998
FDU37,OUT019,199.634
FDQ11,OUT010,722.0734
FDX02,OUT045,3810.0867
NCS42,OUT018,1262.9297
FDY57,OUT027,2670.9402
FDB21,OUT049,4182.8853
FDE28,OUT017,3782.275
FDQ55,OUT017,2150.0627
FDA48,OUT049,3776.79
FDZ19,OUT045,2609.844
NCC43,OUT045,3145.49
NCV18,OUT046,1673.7324
NCA42,OUT018,2516.8518
FDY45,OUT046,3722.2493
NCC30,OUT045,2863.9958
FDM57,OUT013,1072.2217
FDL09,OUT010,375.08273
FDB09,OUT027,3091.6084
FDT44,OUT035,1861.9442
NCT06,OUT027,4496.614
FDX26,OUT049,3469.3767
FDK32,OUT013,2488.4465
DRA12,OUT046,2102.4302
FDO46,OUT010,503.56192
FDE52,OUT013,1311.3916
NCH42,OUT045,4141.6025
FDV08,OUT035,753.3516
FDB47,OUT018,3481.2517
FDC28,OUT010,267.49994
FDD22,OUT046,1816.2281
FDS07,OUT027,3084.049
DRI13,OUT045,3570.5142
FDG32,OUT018,3331.698
FDU14,OUT017,4041.506
FDD28,OUT019,116.09185
NCP41,OUT017,1748.1869
FDS08,OUT049,2563.7456
FDX47,OUT045,2327.819
FDC53,OUT019,173.03464
FDQ19,OUT035,4653.493
FDL14,OUT045,2287.4473
FDM33,OUT019,800.395
FDA51,OUT045,1940.439
FDZ27,OUT018,526.931
FDT04,OUT046,577.2683
DRC13,OUT049,2091.2002
FDR16,OUT027,5626.3145
FDQ03,OUT027,5885.58
FDE38,OUT035,2789.1392
DRH23,OUT027,1680.3265
FDT11,OUT019,575.9416
FDD09,OUT035,3531.5369
FDR40,OUT045,1483.9515
FDX07,OUT017,3465.3738
FDR07,OUT035,1540.7982
FDA51,OUT017,2088.4233
FDT59,OUT019,771.0076
FDF20,OUT017,3223.1821
FDR13,OUT045,1812.6174
FDY26,OUT049,4138.203
FDW04,OUT017,2163.254
FDK52,OUT017,4212.9077
FDN60,OUT049,2786.674
FDM09,OUT019,372.96188
FDP46,OUT049,1435.5128
FDB50,OUT019,207.08514
NCQ29,OUT049,3724.4236
FDP16,OUT027,6366.3096
FDX33,OUT018,2433.957
FDP07,OUT010,812.9689
FDN22,OUT046,3755.218
FDF39,OUT049,4835.708
FDS21,OUT017,1026.6251
NCM42,OUT013,1662.1886
FDK50,OUT019,350.23798
DRF13,OUT027,3613.564
FDH35,OUT018,2177.01
FDP60,OUT018,1228.8374
DRJ49,OUT027,3257.046
NCT42,OUT019,326.22104
FDE38,OUT049,2755.4822
FDI04,OUT049,3114.377
NCH54,OUT045,2690.631
FDT56,OUT049,939.4773
DRD15,OUT018,2639.7114
FDV58,OUT013,2719.0452
FDP21,OUT049,3588.1653
FDH05,OUT013,3721.6956
FDR10,OUT027,4320.4385
NCP06,OUT045,2225.1416
FDF33,OUT049,1818.1497
DRK37,OUT013,3417.607
DRH49,OUT045,1327.1152
FDT58,OUT013,2433.9844
FDD41,OUT018,1510.2368
FDP40,OUT018,1428.1407
FDM51,OUT027,2750.9146
FDO45,OUT010,136.29272
FDW33,OUT010,232.88583
FDY24,OUT045,1054.1315
FDB10,OUT010,65.377106
FDM40,OUT035,2134.7598
NCI06,OUT017,3121.409
FDW12,OUT019,352.8658
FDX48,OUT027,4038.6975
NCW05,OUT027,2583.4941
FDX27,OUT017,1442.0278
DRM37,OUT045,3174.241
FDA38,OUT045,3511.2666
FDR36,OUT046,739.8255
FDZ45,OUT046,3201.9746
FDG05,OUT017,2651.4946
FDK28,OUT013,4368.9883
FDV47,OUT045,1289.1855
FDN21,OUT045,2405.136
FDP20,OUT027,3270.3364
FDI35,OUT045,3356.757
DRY23,OUT013,626.78955
FDA56,OUT017,2138.3508
FDB09,OUT013,1696.4208
NCO26,OUT027,2733.5898
FDQ49,OUT018,2259.4053
FDI52,OUT027,3179.916
FDZ44,OUT027,2912.5742
FDZ09,OUT018,2467.0647
FDY03,OUT049,1791.5665
NCG42,OUT017,2030.5479
DRI13,OUT027,5495.156
FDQ32,OUT013,1938.3429
FDW16,OUT035,1582.3541
FDU27,OUT046,664.3677
FDR28,OUT010,504.6265
FDQ49,OUT010,398.55933
FDS37,OUT046,2011.9725
FDW26,OUT018,2633.8203
FDX12,OUT018,3570.1653
NCP06,OUT013,2235.1985
FDW45,OUT010,325.27838
NCN30,OUT049,1588.346
FDN24,OUT049,954.5736
NCL41,OUT027,1129.0187
FDR02,OUT019,287.0804
FDD09,OUT010,556.5157
FDS33,OUT010,239.6889
FDU22,OUT045,1860.7681
FDI53,OUT013,2602.971
DRH01,OUT049,3014.4155
FDX32,OUT013,2331.7068
NCP30,OUT018,613.6606
FDB60,OUT045,2977.3481
FDB14,OUT049,1616.2189
NCP02,OUT035,990.62897
FDJ10,OUT017,2189.602
FDG34,OUT046,1804.4211
NCB18,OUT017,1410.9415
FDM16,OUT049,1253.4131
FDW25,OUT018,1217.3953
FDB35,OUT010,199.09969
DRN11,OUT013,2180.456
FDF41,OUT019,368.29477
FDH16,OUT045,1265.1095
NCQ50,OUT018,3050.481
DRH23,OUT018,707.48016
DRJ37,OUT013,2414.5024
DRJ24,OUT027,4907.667
FDY16,OUT035,3242.578
FDQ27,OUT045,1982.37
FDZ33,OUT045,2317.3254
FDF29,OUT045,2119.9763
FDA08,OUT049,2683.8906
FDG31,OUT046,1052.6073
FDE34,OUT019,747.31506
NCR30,OUT027,1924.4388
FDV33,OUT035,4109.9175
DRZ24,OUT018,1673.3905
NCL54,OUT035,2995.4922
FDR12,OUT049,2947.3992
NCC54,OUT046,3844.7603
DRN59,OUT013,747.0152
FDX50,OUT019,262.92245
FDV31,OUT027,4680.77
NCA29,OUT027,4738.1445
FDW60,OUT049,2918.4368
FDX08,OUT017,3439.1748
DRD49,OUT013,3773.193
FDD33,OUT046,3722.271
FDW35,OUT013,562.9905
FDJ36,OUT017,1740.9484
FDV51,OUT035,2986.5527
FDW36,OUT046,1512.3789
FDH35,OUT046,2341.5754
NCS30,OUT027,3136.103
FDN49,OUT017,690.04913
FDL08,OUT018,3213.308
FDI09,OUT013,4015.8118
FDP19,OUT018,1893.1569
FDU21,OUT010,21.224043
NCP41,OUT045,1548.2437
FDY10,OUT013,1793.1948
FDP12,OUT018,437.48877
NCN26,OUT049,2121.5312
FDK44,OUT013,2804.9763
FDC28,OUT049,1616.3966
FDJ41,OUT027,6510.971
NCT29,OUT035,2047.5654
NCH42,OUT019,575.71027
FDU60,OUT018,2556.5356
FDS02,OUT045,3216.5298
FDC51,OUT046,2070.876
FDU03,OUT013,3120.945
FDX39,OUT045,3912.8894
NCY05,OUT010,80.28471
NCL06,OUT027,5718.7393
FDD32,OUT035,1373.9138
NCN41,OUT045,1829.2706
NCX53,OUT049,2440.3184
FDU57,OUT019,407.93338
FDQ23,OUT046,1718.7599
FDQ52,OUT045,4393.6953
FDC14,OUT045,667.81165
FDY09,OUT035,3037.9753
FDQ28,OUT045,2467.2507
FDV25,OUT046,4470.9214
FDJ07,OUT035,1937.7377
DRB25,OUT049,1498.5613
FDK52,OUT019,429.91302
FDY52,OUT027,1201.8315
FDB28,OUT046,3007.4978
FDT36,OUT035,631.29736
FDV25,OUT017,4260.6
NCN07,OUT027,3498.7422
FDC57,OUT017,3019.4834
FDQ03,OUT018,2978.8303
FDU23,OUT017,2792.62
NCX41,OUT035,3719.0527
NCD06,OUT035,839.44006
FDW08,OUT045,1515.0625
NCU29,OUT017,2521.2322
NCE06,OUT013,2270.2322
FDV52,OUT010,162.52422
FDB02,OUT017,2986.626
NCR18,OUT045,657.44916
FDK16,OUT049,1535.5254
NCQ29,OUT010,730.5807
FDZ01,OUT019,227.86322
FDW27,OUT035,2534.0776
FDD17,OUT018,3093.8694
FDW39,OUT013,2763.6387
DRH59,OUT045,1077.6812
FDS52,OUT013,1876.4064
FDU40,OUT027,5978.437
NCF54,OUT013,2677.776
FDH46,OUT045,1587.4204
NCP14,OUT049,1864.8638
FDH50,OUT049,3462.5276
DRF15,OUT010,247.98717
FDV27,OUT027,2304.3828
NCJ06,OUT049,1953.726
FDN02,OUT018,3232.1724
FDQ51,OUT049,879.67194
FDQ07,OUT017,3937.6704
FDS45,OUT049,1950.2251
NCJ06,OUT045,1887.0432
FDD36,OUT035,2221.6743
FDY25,OUT045,3080.2295
FDU52,OUT046,2512.4326
DRK47,OUT017,4224.391
NCL30,OUT017,2075.4963
FDN22,OUT035,3765.7656
NCF30,OUT027,3308.7805
FDK03,OUT035,4584.379
FDT45,OUT017,896.7094
NCC54,OUT027,6160.3286
FDP08,OUT018,3012.932
FDU44,OUT046,2618.8699
DRG39,OUT035,902.65125
FDU32,OUT049,2113.317
FDY27,OUT049,2912.2864
NCP54,OUT013,2124.349
NCZ41,OUT049,2112.3955
DRL49,OUT013,2215.0332
FDI05,OUT018,1077.8478
FDY56,OUT045,4064.5842
DRC13,OUT013,1936.2448
NCV29,OUT017,3144.6428
FDR24,OUT049,1472.4764
FDZ34,OUT018,2780.0105
FDP37,OUT035,2131.3923
FDX08,OUT027,5208.611
FDS57,OUT045,2056.716
NCG18,OUT049,1793.1024
FDK25,OUT018,2599.5647
FDH53,OUT049,1317.4722
DRI59,OUT018,3339.653
FDA52,OUT046,2666.4236
FDT20,OUT010,36.406994
FDE36,OUT019,696.8299
FDI24,OUT017,3132.5007
FDB28,OUT018,2875.3386
FDV11,OUT017,2648.362
FDP01,OUT046,2489.0986
FDD34,OUT027,4021.9456
FDJ50,OUT027,1355.2142
FDZ44,OUT013,1936.7129
DRO59,OUT035,1236.0911
DRB48,OUT045,672.27344
FDR21,OUT018,2393.372
NCE42,OUT010,1329.7803
FDO23,OUT046,1482.1606
NCE30,OUT018,2924.2227
FDQ22,OUT035,723.411
FDY01,OUT045,1815.2175
FDS08,OUT017,2714.725
FDG28,OUT018,3180.1401
FDQ51,OUT018,615.58484
FDB05,OUT017,4149.092
FDO56,OUT049,1847.558
FDE02,OUT018,1324.5027
FDN45,OUT017,3735.3765
FDS09,OUT013,648.2243
NCA54,OUT018,2771.5808
FDP09,OUT010,552.8755
FDC53,OUT045,1274.5148
NCM55,OUT017,3152.6348
FDL09,OUT018,2395.3762
FDA11,OUT019,198.84727
FDA50,OUT045,1319.0923
FDC23,OUT017,3238.6594
FDE22,OUT049,2689.4832
FDD23,OUT046,3160.455
NCA29,OUT049,3078.4126
FDK38,OUT046,2442.65
DRC13,OUT046,1925.8529
NCP43,OUT049,3136.4924
FDX28,OUT049,1598.5847
FDF08,OUT049,1394.0182
FDZ33,OUT046,2319.2004
FDD10,OUT049,2542.7432
FDO58,OUT017,2580.6702
FDI50,OUT017,4350.804
FDO58,OUT045,2500.909
FDX08,OUT013,3286.0012
NCK17,OUT010,1.0896642
FDF39,OUT035,5187.2207
FDU45,OUT010,336.95273
NCJ18,OUT018,1508.1664
DRC27,OUT019,129.54048
DRC25,OUT035,1382.8182
FDU59,OUT035,2226.7507
FDU28,OUT035,3147.9824
NCP30,OUT046,566.2295
FDB39,OUT018,640.6617
FDE41,OUT013,1330.6736
DRH11,OUT010,164.05522
FDA58,OUT045,3340.8872
FDU50,OUT046,1753.8567
FDM34,OUT013,1937.9807
FDM44,OUT027,2786.7732
FDR39,OUT045,3083.1152
FDM25,OUT045,2743.6409
FDQ49,OUT049,2485.2312
DRH25,OUT018,567.64014
FDM09,OUT027,4249.1562
FDL44,OUT019,494.65564
NCR42,OUT018,434.37524
DRL59,OUT046,934.0222
FDX43,OUT013,2369.2285
DRK47,OUT010,604.49615
FDU48,OUT018,1462.8141
FDY12,OUT045,756.66254
NCN43,OUT018,1812.5186
NCM55,OUT018,2719.865
FDQ21,OUT027,3762.25
FDX13,OUT035,4311.1895
NCK30,OUT027,5313.7104
FDG20,OUT049,2866.5178
DRG27,OUT017,819.36346
FDY14,OUT018,3469.7388
FDP59,OUT035,1509.8759
FDU60,OUT017,2924.1125
NCC18,OUT019,475.63345
DRJ39,OUT017,3825.238
FDS07,OUT049,1846.2554
FDM08,OUT027,6127.4395
FDP51,OUT045,1997.2493
FDU16,OUT035,1359.4883
FDH12,OUT013,1596.3411
DRE48,OUT010,521.19183
NCL42,OUT027,6391.815
FDR21,OUT045,2577.592
NCW29,OUT035,2275.143
FDO11,OUT013,4234.684
NCM31,OUT049,2150.4854
FDV35,OUT019,320.91495
FDF58,OUT017,1013.895
NCE43,OUT049,2865.8052
FDA02,OUT035,2682.2485
DRL37,OUT010,82.21153
FDR24,OUT018,1040.139
FDW59,OUT049,1406.5145
FDS22,OUT049,813.58765
FDW24,OUT017,831.66003
FDU24,OUT035,1657.5515
FDA21,OUT027,5480.1123
FDH58,OUT027,3303.341
FDW36,OUT018,1309.1962
FDI45,OUT027,4941.5635
FDU01,OUT018,2846.2888
FDF35,OUT027,2794.8425
FDU43,OUT019,150.31068
FDE24,OUT019,345.25775
